24-01-2023 08:18:42.990;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:23:43.011;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:28:43.031;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:33:43.047;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:38:43.063;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:43:43.083;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:48:43.111;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:53:43.129;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:58:43.150;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:59:09.986;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
24-01-2023 08:59:17.098;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 08:59:47.620;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 08:59:51.589;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 09:00:03.722;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 09:42:27.758;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 09:47:26.855;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 09:52:26.876;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 09:57:26.898;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:02:26.920;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:07:26.941;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:12:26.962;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:17:26.978;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:22:26.999;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:27:27.022;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:32:27.043;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:37:27.063;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:42:27.083;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:47:27.104;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:52:27.126;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 10:57:27.145;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 11:02:27.160;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 11:07:27.174;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 11:12:27.189;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 11:17:27.203;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 11:22:27.223;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 11:27:27.253;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 11:32:27.268;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 11:37:27.291;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 11:42:27.311;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 11:45:12.956;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
24-01-2023 11:45:18.444;StatusLog;AC; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
24-01-2023 11:45:19.939;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 11:45:54.183;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 11:45:58.248;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 13:03:53.658;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 13:04:24.801;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
