28-02-2023 00:00:09.046;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:05:09.068;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:10:09.089;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:15:09.112;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:20:09.131;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:25:09.153;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:30:09.168;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:35:09.187;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:40:09.206;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:45:09.229;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:50:09.252;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:55:09.273;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:00:09.303;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:05:09.318;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:10:09.341;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:15:09.363;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:20:09.383;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:25:09.405;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:30:09.427;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:35:09.450;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:40:09.474;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:45:09.494;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:50:09.510;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:55:09.531;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:00:09.553;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:05:09.574;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:10:09.596;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:15:09.618;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:20:09.638;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:25:09.659;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:30:09.681;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:35:09.699;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:40:09.721;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:45:09.742;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:50:09.764;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:55:09.786;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 03:00:09.807;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 03:05:09.829;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 03:10:09.852;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 03:15:09.876;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
