21-01-2023 00:33:25.444;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:33:29.451;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:33:33.460;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:33:37.472;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:33:41.486;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:33:45.499;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:33:49.513;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:33:53.522;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:33:57.535;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:01.544;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:05.558;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:09.570;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:13.584;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:17.599;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:21.608;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:25.622;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:29.636;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:33.650;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:37.676;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:41.691;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:45.698;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:49.712;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:53.726;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:34:57.741;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:35:01.754;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:35:05.763;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:35:09.770;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:35:13.785;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:35:17.799;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:35:21.811;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:35:25.824;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:35:29.839;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
21-01-2023 00:35:33.853;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
21-01-2023 00:35:37.868;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:35:41.882;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:35:45.895;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:35:49.928;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:35:53.936;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:35:57.950;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:36:01.959;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:36:05.974;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:36:09.987;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:36:14.001;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:36:18.020;LAMLog;0; -; -; -; INPUT SILENCE; -; -; NO MATCH; 
21-01-2023 00:36:22.054;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:36:26.069;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:36:30.083;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:36:34.095;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:36:38.109;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:36:42.123;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:36:46.140;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
