21-01-2023 00:29:12.998;AwmDetectorLog;NOTIDENTIFIED;538187350;9
21-01-2023 00:29:17.985;AwmDetectorLog;MARKED;538187351;49
21-01-2023 00:29:18.126;AwmDetectorLog;NOTIDENTIFIED;538187356;4
21-01-2023 00:29:23.214;AwmDetectorLog;NOTIDENTIFIED;538187358;8
21-01-2023 00:29:23.473;AwmDetectorLog;NOTIDENTIFIED;538187359;3
21-01-2023 00:29:28.482;AwmDetectorLog;NOTIDENTIFIED;538187362;3
21-01-2023 00:29:28.495;AwmDetectorLog;NOTIDENTIFIED;538187365;3
21-01-2023 00:29:28.614;AwmDetectorLog;NOTIDENTIFIED;538187365;7
21-01-2023 00:29:33.701;AwmDetectorLog;NOTIDENTIFIED;538187368;3
21-01-2023 00:29:33.823;AwmDetectorLog;NOTIDENTIFIED;538187371;3
21-01-2023 00:29:39.004;AwmDetectorLog;NOTIDENTIFIED;538187374;3
21-01-2023 00:29:39.019;AwmDetectorLog;NOTIDENTIFIED;538187374;9
21-01-2023 00:29:39.142;AwmDetectorLog;NOTIDENTIFIED;538187377;3
21-01-2023 00:29:44.242;AwmDetectorLog;NOTIDENTIFIED;538187380;3
21-01-2023 00:29:49.350;AwmDetectorLog;NOTIDENTIFIED;538187382;8
21-01-2023 00:29:49.482;AwmDetectorLog;NOTIDENTIFIED;538187383;3
21-01-2023 00:29:49.615;AwmDetectorLog;NOTIDENTIFIED;538187386;3
21-01-2023 00:29:54.708;AwmDetectorLog;NOTIDENTIFIED;538187389;3
21-01-2023 00:29:54.841;AwmDetectorLog;NOTIDENTIFIED;538187390;8
21-01-2023 00:29:54.975;AwmDetectorLog;NOTIDENTIFIED;538187392;3
21-01-2023 00:30:00.025;AwmDetectorLog;NOTIDENTIFIED;538187395;3
21-01-2023 00:30:05.044;AwmDetectorLog;NOTIDENTIFIED;538187399;4
21-01-2023 00:30:05.175;AwmDetectorLog;NOTIDENTIFIED;538187399;9
21-01-2023 00:30:05.304;AwmDetectorLog;NOTIDENTIFIED;538187402;3
21-01-2023 00:30:10.401;AwmDetectorLog;NOTIDENTIFIED;538187405;3
21-01-2023 00:30:10.624;AwmDetectorLog;NOTIDENTIFIED;538187406;7
21-01-2023 00:30:10.644;AwmDetectorLog;NOTIDENTIFIED;538187408;3
21-01-2023 00:30:15.695;AwmDetectorLog;NOTIDENTIFIED;538187411;3
21-01-2023 00:30:15.824;AwmDetectorLog;NOTIDENTIFIED;538187414;3
21-01-2023 00:30:20.936;AwmDetectorLog;NOTIDENTIFIED;538187415;9
21-01-2023 00:30:20.953;AwmDetectorLog;NOTIDENTIFIED;538187417;3
21-01-2023 00:30:26.128;AwmDetectorLog;NOTIDENTIFIED;538187420;3
21-01-2023 00:30:26.150;AwmDetectorLog;NOTIDENTIFIED;538187423;3
21-01-2023 00:30:26.271;AwmDetectorLog;NOTIDENTIFIED;538187423;8
21-01-2023 00:30:31.454;AwmDetectorLog;NOTIDENTIFIED;538187426;3
21-01-2023 00:30:31.470;AwmDetectorLog;NOTIDENTIFIED;538187429;3
21-01-2023 00:30:36.580;AwmDetectorLog;NOTIDENTIFIED;538187431;8
21-01-2023 00:30:36.709;AwmDetectorLog;NOTIDENTIFIED;538187432;3
21-01-2023 00:30:41.805;AwmDetectorLog;NOTIDENTIFIED;538187435;3
21-01-2023 00:30:41.936;AwmDetectorLog;NOTIDENTIFIED;538187439;4
21-01-2023 00:30:47.027;AwmDetectorLog;NOTIDENTIFIED;538187440;9
21-01-2023 00:30:47.158;AwmDetectorLog;NOTIDENTIFIED;538187442;3
21-01-2023 00:30:47.180;AwmDetectorLog;NOTIDENTIFIED;538187445;3
21-01-2023 00:30:52.285;AwmDetectorLog;NOTIDENTIFIED;538187447;7
21-01-2023 00:30:52.417;AwmDetectorLog;NOTIDENTIFIED;538187448;3
21-01-2023 00:30:57.520;AwmDetectorLog;NOTIDENTIFIED;538187451;3
21-01-2023 00:30:57.650;AwmDetectorLog;NOTIDENTIFIED;538187454;3
21-01-2023 00:31:02.644;AwmDetectorLog;NOTIDENTIFIED;538187456;9
21-01-2023 00:31:02.770;AwmDetectorLog;NOTIDENTIFIED;538187457;3
21-01-2023 00:31:02.895;AwmDetectorLog;NOTIDENTIFIED;538187460;3
21-01-2023 00:31:08.020;AwmDetectorLog;NOTIDENTIFIED;538187463;3
21-01-2023 00:31:08.152;AwmDetectorLog;NOTIDENTIFIED;538187464;8
21-01-2023 00:31:08.167;AwmDetectorLog;NOTIDENTIFIED;538187466;3
21-01-2023 00:31:13.263;AwmDetectorLog;NOTIDENTIFIED;538187469;3
21-01-2023 00:31:18.460;AwmDetectorLog;NOTIDENTIFIED;538187472;8
21-01-2023 00:31:18.591;AwmDetectorLog;NOTIDENTIFIED;538187472;3
