22-01-2023 05:45:51.343;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 05:50:51.365;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 05:55:51.382;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:00:51.404;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:05:51.438;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:10:51.453;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:15:51.472;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:20:51.495;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:25:51.517;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:30:51.539;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:35:51.562;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:40:51.585;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:45:51.606;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:50:51.627;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 06:55:51.648;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:00:51.666;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:05:51.686;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:10:51.705;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:15:51.726;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:20:51.749;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:25:51.772;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:30:51.793;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:35:51.816;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:40:51.840;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:45:51.863;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:50:51.883;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 07:55:51.904;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:00:51.925;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:05:51.946;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:10:51.969;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:15:51.992;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:20:52.016;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:25:52.036;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:30:52.058;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:35:52.081;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:40:52.098;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:45:52.127;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:50:52.142;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 08:55:52.171;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 09:00:52.185;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 09:05:52.206;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 09:10:52.226;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 09:15:52.248;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
