19-01-2023 00:04:18.354;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:04:22.369;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:04:26.381;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:04:30.396;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:04:34.412;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:04:38.427;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:04:42.440;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:04:46.452;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:04:50.467;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:04:54.482;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:04:58.489;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:02.501;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:06.514;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:10.528;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:14.541;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:18.554;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:22.562;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:26.574;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:30.589;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:34.605;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:38.620;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:42.633;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:46.648;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:50.661;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:54.675;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:05:58.689;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:02.701;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:06.715;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:10.730;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:14.745;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:18.760;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:22.773;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:26.788;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:30.801;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:34.813;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:38.827;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:42.835;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:46.849;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:50.861;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:54.873;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:06:58.889;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:02.902;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:06.916;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:10.930;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:14.942;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:18.958;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:22.972;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:26.987;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:31.001;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:35.015;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:39.029;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:43.041;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:47.055;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:51.070;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:55.084;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:07:59.098;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:03.112;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:07.129;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:11.144;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:15.158;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:19.166;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:23.181;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:27.195;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:31.209;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:35.222;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:39.238;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:43.251;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:47.265;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:51.279;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:55.293;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:08:59.307;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:03.323;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:07.338;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:11.351;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:15.360;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:19.375;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:23.390;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:27.404;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:31.418;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:35.427;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:39.441;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:43.455;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:47.471;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:51.485;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:55.499;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:09:59.511;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:03.526;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:07.533;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:11.546;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:15.560;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:19.574;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:23.590;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:27.604;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:31.620;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:35.627;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:39.641;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:43.653;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:47.660;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:51.675;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:55.684;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:10:59.691;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:03.698;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:07.706;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:11.720;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:15.729;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:19.738;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:23.747;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:27.760;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:31.773;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:35.787;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:39.795;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:43.816;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:47.831;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:51.839;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:55.851;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:11:59.865;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:03.873;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:07.892;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:11.907;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:15.921;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:19.936;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:23.950;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:27.965;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:31.981;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:35.994;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:40.008;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:44.021;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:48.034;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
