23-01-2023 00:45:49.929;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:53.937;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:57.951;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:46:01.966;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:46:05.980;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:46:09.990;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:46:14.003;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:46:18.017;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:46:22.032;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
23-01-2023 00:46:26.046;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:46:30.060;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:46:34.074;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:46:38.109;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:46:42.117;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:46:46.125;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:46:50.139;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:46:54.154;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:46:58.169;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:47:02.190;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:47:06.205;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
