27-01-2023 00:04:20.536;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:04:24.550;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:04:28.566;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:04:32.579;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:04:36.593;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:04:40.605;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:04:44.619;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:04:48.634;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:04:52.648;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:04:56.664;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:00.678;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:04.691;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:08.705;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:12.720;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:16.729;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:20.737;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:24.745;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:28.759;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:32.774;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:36.784;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:40.798;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:44.813;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:48.819;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:52.834;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:05:56.845;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:00.859;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:04.866;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:08.880;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:12.895;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:16.910;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:20.925;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:24.938;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:28.952;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:32.965;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:36.978;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:40.992;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:45.005;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:49.019;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:53.033;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:06:57.044;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:01.060;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:05.073;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:09.087;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:13.096;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:17.110;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:21.125;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:25.140;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:29.149;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:33.165;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:37.179;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:07:41.193;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
