27-01-2023 06:41:22.780;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 06:46:22.810;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 06:51:22.826;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 06:56:22.847;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:01:22.872;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:06:22.897;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:11:22.921;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:16:22.944;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:21:22.970;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:26:22.992;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:31:23.015;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:36:23.038;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:41:23.061;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:46:23.078;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:51:23.100;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 07:56:23.122;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:01:23.148;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:06:23.167;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:11:23.192;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:16:23.209;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:21:23.234;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:26:23.251;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:31:23.271;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:36:23.287;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
