26-01-2023 21:23:37.170;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 21:28:37.196;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 21:33:37.224;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 21:38:37.250;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 21:43:37.274;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 21:48:37.298;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 21:53:37.323;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 21:58:37.347;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:03:37.374;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:08:37.402;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:13:37.420;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:18:37.445;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:23:37.469;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:28:37.491;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:33:37.514;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:38:37.541;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:43:37.561;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:48:37.587;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:53:37.611;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 22:58:37.635;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:03:37.654;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:08:37.671;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:13:37.692;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:18:37.715;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:23:37.738;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:28:37.758;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:33:37.774;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:38:37.790;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:43:37.812;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:48:37.834;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:53:37.856;StatusLog;AC; NORMAL_OP; TV_OFF; 7; -; -; 
26-01-2023 23:53:54.366;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; -; M: 0 | F: 0; 
26-01-2023 23:54:09.090;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 2; M: 0 | F: 0; 
26-01-2023 23:54:19.884;StatusLog;AC; NORMAL_OP; TV_ON; 7; 2; M: 0 | F: 0; 
26-01-2023 23:54:51.827;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 2; M: 0 | F: 0; 
26-01-2023 23:55:03.941;StatusLog;AC; NORMAL_OP; TV_ON; 7; 2; M: 0 | F: 0; 
26-01-2023 23:55:19.789;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 2; M: 0 | F: 0; 
26-01-2023 23:56:35.767;StatusLog;AC; NORMAL_OP; TV_ON; 7; 2; M: 0 | F: 0; 
26-01-2023 23:56:39.838;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 2; M: 0 | F: 0; 
26-01-2023 23:56:55.853;StatusLog;AC; NORMAL_OP; TV_ON; 7; 2; M: 0 | F: 0; 
