08-03-2023 00:00:09.295;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:05:09.310;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:10:09.332;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:15:09.352;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:20:09.374;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:25:09.389;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:30:09.411;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:35:09.431;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:40:09.453;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:45:09.475;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:50:09.497;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 00:55:09.519;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:00:09.541;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:05:09.563;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:10:09.585;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:15:09.607;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:20:09.628;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:25:09.649;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:30:09.671;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:35:09.704;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:40:09.719;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:45:09.741;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:50:09.756;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 01:55:09.771;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:00:09.792;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:05:09.814;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:10:09.835;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:15:09.856;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:20:09.876;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:25:09.897;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:30:09.917;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:35:09.939;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:40:09.961;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:45:09.983;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:50:09.998;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 02:55:10.020;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 03:00:10.038;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 03:05:10.059;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 03:10:10.081;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 03:15:10.103;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 03:20:10.123;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 03:25:10.149;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 03:30:10.170;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 03:35:10.184;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 03:40:10.205;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
08-03-2023 03:45:10.228;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
