03-03-2023 05:25:08.977;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 05:30:08.999;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 05:35:09.021;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 05:40:09.042;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 05:45:09.064;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 05:50:09.085;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 05:55:09.106;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:00:09.120;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:05:09.142;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:10:09.164;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:15:09.186;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:20:09.206;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:25:09.220;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:30:09.243;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:35:09.265;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:40:09.286;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:45:09.307;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:50:09.332;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 06:55:09.354;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:00:09.374;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:05:09.397;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:10:09.417;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:15:09.440;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:20:09.458;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:25:09.473;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:30:09.491;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:35:09.515;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:40:09.537;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:45:09.559;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:50:09.580;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 07:55:09.601;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 08:00:08.725;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
03-03-2023 08:00:09.649;StatusLog;USB; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
03-03-2023 08:00:11.293;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
03-03-2023 08:02:17.988;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 08:03:04.126;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
03-03-2023 08:03:06.266;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
03-03-2023 08:07:18.434;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 08:08:04.573;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
03-03-2023 08:08:05.904;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
03-03-2023 08:16:17.934;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 08:20:04.137;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
03-03-2023 08:20:05.651;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
03-03-2023 08:55:09.879;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
