27-02-2023 05:13:42.062;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 05:18:42.085;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 05:23:42.109;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 05:28:42.130;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 05:33:42.168;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 05:38:42.189;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 05:43:42.214;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 05:48:42.236;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 05:53:42.258;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 05:58:42.278;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:03:42.308;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:08:42.325;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:13:42.347;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:18:42.369;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:23:42.390;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:28:42.412;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:33:42.434;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:38:42.456;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:43:42.483;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:48:42.503;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:53:42.525;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 06:58:42.547;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:03:42.569;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:08:42.588;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:13:42.607;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:18:42.629;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:23:42.650;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:28:42.671;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:33:42.692;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:38:42.715;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:43:42.737;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:48:42.757;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:53:42.777;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 07:58:42.798;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:03:42.818;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:08:42.845;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:13:42.866;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:18:42.887;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:23:42.908;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:28:42.932;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:33:42.955;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:38:42.981;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:43:43.005;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:48:43.027;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:53:43.057;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 08:58:43.073;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:03:43.093;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:08:43.114;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:13:43.135;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:18:43.160;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:23:43.181;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:28:43.205;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:33:43.229;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:38:43.250;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:43:43.268;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:48:43.289;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:53:43.308;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 09:58:43.330;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:03:43.352;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:08:43.374;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:13:43.398;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
