05-03-2023 05:25:52.078;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 05:30:52.098;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 05:35:52.120;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 05:40:52.143;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 05:45:52.165;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 05:50:52.187;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 05:55:52.211;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:00:52.233;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:05:52.255;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:10:52.277;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:15:52.299;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:20:52.322;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:25:52.344;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:30:52.366;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:35:52.383;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:40:52.405;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:45:52.426;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:50:52.448;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 06:55:52.470;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:00:52.491;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:05:52.513;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:10:52.538;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:15:52.562;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:20:52.585;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:25:52.608;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:30:52.631;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:35:52.648;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:40:52.669;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:45:52.691;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:50:52.713;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 07:55:52.737;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:00:52.771;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:05:52.789;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:10:52.811;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:15:52.833;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:20:52.857;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:25:52.880;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:30:52.902;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:35:52.924;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:40:52.945;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:45:52.969;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:50:52.991;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 08:55:53.015;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:00:53.041;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:05:53.064;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:10:53.086;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:15:53.110;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:20:53.132;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:25:53.154;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:30:53.176;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:35:53.199;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:40:53.220;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:45:53.244;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:50:53.266;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 09:55:53.290;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 10:00:53.312;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 10:05:53.334;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 10:10:53.355;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 10:15:53.378;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 10:20:53.399;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
