28-02-2023 00:04:30.582;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:09:30.612;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:14:30.625;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:19:30.648;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:24:30.671;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:29:30.694;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:34:30.717;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:39:30.739;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:44:30.759;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:49:30.778;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:54:30.797;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 00:59:30.818;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:04:30.841;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:09:30.864;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:14:30.886;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:19:30.910;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:24:30.932;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:29:30.954;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:34:30.968;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:39:30.988;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:44:31.008;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:49:31.029;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:54:31.052;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 01:59:31.073;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:04:31.094;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:09:31.116;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:14:31.137;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
28-02-2023 02:19:31.158;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
