14-07-2023 00:04:12.704;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:09:12.727;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:14:12.750;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:19:12.772;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:24:12.796;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:29:12.817;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:34:12.839;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:39:12.861;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:44:12.883;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:49:12.904;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:54:12.925;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 00:59:12.946;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:04:12.969;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:09:12.991;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:14:13.012;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:19:13.040;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:24:13.065;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:29:13.089;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:34:13.115;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:39:13.136;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:44:13.153;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:49:13.169;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:54:13.190;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 01:59:13.210;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:04:13.229;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:09:13.252;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:14:13.267;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:19:13.289;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:24:13.310;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:29:13.329;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:34:13.350;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:39:13.372;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:44:13.395;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:49:13.417;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:54:13.440;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 02:59:13.462;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:04:13.484;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:09:13.507;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:14:13.531;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:19:13.553;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:24:13.575;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:29:13.598;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:34:13.619;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:39:13.642;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:44:13.656;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:49:13.676;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:54:13.692;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 03:59:13.715;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:04:13.730;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:09:13.750;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:14:13.768;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:19:13.789;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:24:13.804;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:29:13.826;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:34:13.850;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:39:13.872;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:44:13.896;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:49:13.918;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:54:13.945;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 04:59:13.961;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:04:13.983;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:09:14.005;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:14:14.021;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:19:14.045;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:24:14.067;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:29:14.089;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:34:14.112;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:39:14.134;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:44:14.150;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:49:14.169;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:54:14.190;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 05:59:14.205;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:04:14.222;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:09:14.243;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:14:14.267;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:19:14.315;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:24:14.340;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:29:14.359;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:34:14.381;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:39:14.405;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:44:14.426;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:49:14.449;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:54:14.473;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 06:59:14.497;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:04:14.520;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:09:14.546;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:14:14.569;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:19:14.592;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:24:14.614;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:29:14.631;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:34:14.654;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:39:14.676;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:44:14.698;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:49:14.712;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:54:14.732;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 07:59:14.755;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:04:14.779;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:09:14.804;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:14:14.826;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:19:14.850;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:24:14.871;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:29:14.893;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:34:14.918;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:39:14.934;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:44:14.956;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:49:14.978;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:54:15.000;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 08:59:15.023;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:04:15.046;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:09:15.069;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:14:15.090;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:19:15.105;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:24:15.126;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:29:15.147;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:34:15.162;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:39:15.182;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:44:15.204;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:49:15.225;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:54:15.246;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 09:59:15.266;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:04:15.286;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:09:15.307;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:14:15.330;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:19:15.350;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:24:15.372;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:29:15.400;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:34:15.415;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:39:15.441;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:44:15.476;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:49:15.498;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:54:15.518;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 10:59:15.541;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
14-07-2023 11:04:15.564;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
